% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.084	1	1	109	5	1	22	2769	22	2769	0
1.084	1	1	109	5	1	22	2769	22	2769	0
1.084	1	1	109	5	1	22	2769	22	2769	0
1.085	1	1	109	6	1	22	2769	22	2769	0
1.085	1	1	109	6	1	22	2769	22	2769	0
1.085	1	1	109	6	1	22	2769	22	2769	0
1.086	1	1	109	7	1	22	2769	22	2769	0
1.086	1	1	109	7	1	22	2769	22	2769	0
1.086	1	1	109	7	1	22	2769	22	2769	0
1.087	1	1	109	8	1	22	2769	22	2769	0
1.087	1	1	109	8	1	22	2769	22	2769	0
1.087	1	1	109	8	1	22	2769	22	2769	0
1.088	1	1	109	9	1	22	2769	22	2769	0
1.088	1	1	109	9	1	22	2769	22	2769	0
1.088	1	1	109	9	1	22	2769	22	2769	0
1.089	1	1	109	10	1	22	2769	22	2769	0
1.089	1	1	109	10	1	22	2769	22	2769	0
1.089	1	1	109	10	1	22	2769	22	2769	0
1.09	1	1	110	1	1	22	2769	22	2769	0
1.09	1	1	110	1	1	22	2769	22	2769	0
1.09	1	1	110	1	1	22	2769	22	2769	0
1.091	1	1	110	2	1	22	2769	22	2769	0
1.091	1	1	110	2	1	22	2769	22	2769	0
1.091	1	1	110	2	1	22	2769	22	2769	0
1.092	1	1	110	3	1	22	2769	22	2769	0
1.092	1	1	110	3	1	22	2769	22	2769	0
1.092	1	1	110	3	1	22	2769	22	2769	0
1.093	1	1	110	4	1	22	2769	22	2769	0
1.093	1	1	110	4	1	22	2769	22	2769	0
1.093	1	1	110	4	1	22	2769	22	2769	0
1.094	1	1	110	5	1	22	2769	22	2769	0
1.094	1	1	110	5	1	22	2769	22	2769	0
1.094	1	1	110	5	1	22	2769	22	2769	0
1.095	1	1	110	6	1	22	2769	22	2769	0
1.095	1	1	110	6	1	22	2769	22	2769	0
1.095	1	1	110	6	1	22	2769	22	2769	0
1.096	1	1	110	7	1	22	2769	22	2769	0
1.096	1	1	110	7	1	22	2769	22	2769	0
